tamanho,estrategia,comparacoes_insercao
10000,aleatoria,154930
10000,alternada,49995000
20000,aleatoria,358800
20000,alternada,199990000
30000,aleatoria,522068
30000,alternada,449985000
40000,aleatoria,750703
40000,alternada,799980000
50000,aleatoria,928966
50000,alternada,1249975000
60000,aleatoria,1160641
60000,alternada,1799970000
70000,aleatoria,1340546
70000,alternada,2449965000
80000,aleatoria,1535692
80000,alternada,3199960000
90000,aleatoria,1767553
90000,alternada,4049955000
100000,aleatoria,2020851
100000,alternada,4999950000
